thickness,x,y
878.2,0,55
860.03,0,80.001
871.81,0,90
858.54,0,95
862.59,0,102
845.33,0,123
888.09,0,130
887.81,0,136
878.67,0,139
851.4,0,142
834.56,0,145
801.57,0,145.5
814.98,0,146
802.33,0,146.5
793.08,0,147
787.73,0,147.5
791.22,0,148
837.99,0,148.5
818.84,55,133.96
810.01,102.531,102.529
862.14,100.41,100.41
860.49,98.29,98.29
878.65,96.16,96.16
884.71,91.92,91.92
836.63,86.97,86.97
838.58,77.91,77.91
830.71,49.5,49.5
860.48,45,-0.001
866.65,55,0
872,80,0
850.23,90,0
849.74,95,0
842.16,102,0
878.72,123,0
894.17,133,0
880.86,136,0
858.96,139,0
834.17,142,0
805.5,145,0
780.03,145.5,0
776.08,146,0
762.88,146.5,0
762.2,147,0
751.41,147.5,0
753.82,148,0
820.78,148.5,0
780.45,133.96,-55.49
771.43,102.53,-102.53
834.82,100.41,-100.41
878.24,98.29,-98.29
890.45,96.159,-96.16
895.75,94.044,-94.044
875.43,91.92,-91.92
852.66,77.91,-77.91
839.79,49.5,-49.5
824.59,21.21,-21.21
875.26,0,-45
820.82,-21.21,-21.21
863.38,-49.5,-49.5
861.95,0,-55
901.22,0,-80
906.62,0,-90
883.86,0,-95
859.91,0,-102
833.39,0,-123
887.59,0,-130
884.91,0,-133
799.48,19.844,-142.996
840.91,0,-139
823.62,0,-142
792.54,0,-145
770.21,0,-145.5
771.57,0,-146
775.57,0,-146.5
784.99,0,-147
830.95,0,-147.5
905.16,0,-148
867.25,-12.257,-144.163
845.16,-55.49,-133.96
874.5,-102.53,-102.53
954.26,-100.41,-100.41
1009.28,-98.29,-98.29
1050.16,-96.16,-96.16
1031.37,-91.92,-91.92
984.71,-86.97,-86.97
964.02,-77.91,-77.91
949.07,-80,0
985.13,-90,0
988.55,-95.001,0
982.81,-102,0
980.37,-123,0
1005.73,-133,0
982.91,-136,0
972.27,-139,0
915.93,-142,0
871.16,-145,0
867.57,-145.5,0
863.65,-146,0
849.99,-146.5,0
846.53,-147,0
859.45,-147.5,0
840.73,-148,0
838.72,-148.5,0
903.97,-133.96,55.49
887.44,-102.53,102.53
933.77,-100.409,100.409
988.8,-98.29,98.29
1014.5,-96.16,96.16
1003.99,-94.045,94.045
1016.46,-91.92,91.92
941.67,-77.91,77.91
946.08,-49.5,49.5
924.94,-55,0
937.51,-45,0
902.45,-21.21,21.21
897.4,-10.6,10.6
880.04,0,10
874.19,0,0
886.83,-9.999,-0.001
855.22,0,-10
858.27,10.6,-10.6
867.36,10,0
883.87,21.21,21.21
964.2,0,45
